module_title,course_title
Introduction,"Python Programming"
"Intermediate Concepts","Python Programming"
Introduction,"Java Programming"
"Intermediate Concepts","Java Programming"
Introduction,"C Programming"
"Intermediate Concepts","C Programming"
Introduction,"C++ Programming"
"Intermediate Concepts","C++ Programming"
Introduction,MySQL
"Intermediate Concepts",MySQL
Introduction,"HTML & CSS"
"Intermediate Concepts","HTML & CSS"
Introduction,JavaScript
"Intermediate Concepts",JavaScript
Introduction,"React JS"
"Intermediate Concepts","React JS"
Introduction,"Node JS"
"Intermediate Concepts","Node JS"
Introduction,PHP
"Intermediate Concepts",PHP
Introduction,Laravel
"Intermediate Concepts",Laravel
Introduction,"Data Science"
"Intermediate Concepts","Data Science"
Introduction,"Machine Learning"
"Intermediate Concepts","Machine Learning"
Introduction,"Deep Learning"
"Intermediate Concepts","Deep Learning"
Introduction,"Power BI"
"Intermediate Concepts","Power BI"
Introduction,Excel
"Intermediate Concepts",Excel
Introduction,Tableau
"Intermediate Concepts",Tableau
Introduction,AWS
"Intermediate Concepts",AWS
Introduction,Azure
"Intermediate Concepts",Azure
Introduction,DevOps
"Intermediate Concepts",DevOps
"Introduction - Course 1","Python Programming"
"Fundamentals - Course 1","Python Programming"
"Intermediate Concepts - Course 1","Python Programming"
"Advanced Concepts - Course 1","Python Programming"
"Projects & Assessment - Course 1","Python Programming"
"Introduction - Course 2","Java Programming"
"Fundamentals - Course 2","Java Programming"
"Intermediate Concepts - Course 2","Java Programming"
"Advanced Concepts - Course 2","Java Programming"
"Projects & Assessment - Course 2","Java Programming"
"Introduction - Course 3","C Programming"
"Fundamentals - Course 3","C Programming"
"Intermediate Concepts - Course 3","C Programming"
"Advanced Concepts - Course 3","C Programming"
"Projects & Assessment - Course 3","C Programming"
"Introduction - Course 4","C++ Programming"
"Fundamentals - Course 4","C++ Programming"
"Intermediate Concepts - Course 4","C++ Programming"
"Advanced Concepts - Course 4","C++ Programming"
"Projects & Assessment - Course 4","C++ Programming"
"Introduction - Course 5",MySQL
"Fundamentals - Course 5",MySQL
"Intermediate Concepts - Course 5",MySQL
"Advanced Concepts - Course 5",MySQL
"Projects & Assessment - Course 5",MySQL
"Introduction - Course 6","HTML & CSS"
"Fundamentals - Course 6","HTML & CSS"
"Intermediate Concepts - Course 6","HTML & CSS"
"Advanced Concepts - Course 6","HTML & CSS"
"Projects & Assessment - Course 6","HTML & CSS"
"Introduction - Course 7",JavaScript
"Fundamentals - Course 7",JavaScript
"Intermediate Concepts - Course 7",JavaScript
"Advanced Concepts - Course 7",JavaScript
"Projects & Assessment - Course 7",JavaScript
"Introduction - Course 8","React JS"
"Fundamentals - Course 8","React JS"
"Intermediate Concepts - Course 8","React JS"
"Advanced Concepts - Course 8","React JS"
"Projects & Assessment - Course 8","React JS"
"Introduction - Course 9","Node JS"
"Fundamentals - Course 9","Node JS"
"Intermediate Concepts - Course 9","Node JS"
"Advanced Concepts - Course 9","Node JS"
"Projects & Assessment - Course 9","Node JS"
"Introduction - Course 10",PHP
"Fundamentals - Course 10",PHP
"Intermediate Concepts - Course 10",PHP
"Advanced Concepts - Course 10",PHP
"Projects & Assessment - Course 10",PHP
"Introduction - Course 11",Laravel
"Fundamentals - Course 11",Laravel
"Intermediate Concepts - Course 11",Laravel
"Advanced Concepts - Course 11",Laravel
"Projects & Assessment - Course 11",Laravel
"Introduction - Course 12","Data Science"
"Fundamentals - Course 12","Data Science"
"Intermediate Concepts - Course 12","Data Science"
"Advanced Concepts - Course 12","Data Science"
"Projects & Assessment - Course 12","Data Science"
"Introduction - Course 13","Machine Learning"
"Fundamentals - Course 13","Machine Learning"
"Intermediate Concepts - Course 13","Machine Learning"
"Advanced Concepts - Course 13","Machine Learning"
"Projects & Assessment - Course 13","Machine Learning"
"Introduction - Course 14","Deep Learning"
"Fundamentals - Course 14","Deep Learning"
"Intermediate Concepts - Course 14","Deep Learning"
"Advanced Concepts - Course 14","Deep Learning"
"Projects & Assessment - Course 14","Deep Learning"
"Introduction - Course 15","Power BI"
"Fundamentals - Course 15","Power BI"
"Intermediate Concepts - Course 15","Power BI"
"Advanced Concepts - Course 15","Power BI"
"Projects & Assessment - Course 15","Power BI"
"Introduction - Course 16",Excel
"Fundamentals - Course 16",Excel
"Intermediate Concepts - Course 16",Excel
"Advanced Concepts - Course 16",Excel
"Projects & Assessment - Course 16",Excel
"Introduction - Course 17",Tableau
"Fundamentals - Course 17",Tableau
"Intermediate Concepts - Course 17",Tableau
"Advanced Concepts - Course 17",Tableau
"Projects & Assessment - Course 17",Tableau
"Introduction - Course 18",AWS
"Fundamentals - Course 18",AWS
"Intermediate Concepts - Course 18",AWS
"Advanced Concepts - Course 18",AWS
"Projects & Assessment - Course 18",AWS
"Introduction - Course 19",Azure
"Fundamentals - Course 19",Azure
"Intermediate Concepts - Course 19",Azure
"Advanced Concepts - Course 19",Azure
"Projects & Assessment - Course 19",Azure
"Introduction - Course 20",DevOps
"Fundamentals - Course 20",DevOps
"Intermediate Concepts - Course 20",DevOps
"Advanced Concepts - Course 20",DevOps
"Projects & Assessment - Course 20",DevOps
"Introduction - Course 21","Python Programming"
"Fundamentals - Course 21","Python Programming"
"Intermediate Concepts - Course 21","Python Programming"
"Advanced Concepts - Course 21","Python Programming"
"Projects & Assessment - Course 21","Python Programming"
