quiz_title,topic_title
"Python Introduction Quiz","Introduction to Python"
"Quiz - Topic 1","Introduction to Python"
"Python Installation Quiz","Installing Python"
"Quiz - Topic 2","Installing Python"
"Variables Quiz",Variables
"Quiz - Topic 3",Variables
"Data Types Quiz","Data Types"
"Quiz - Topic 4","Data Types"
"Functions Quiz",Functions
"Quiz - Topic 5",Functions
"Loops Quiz",Loops
"Quiz - Topic 6",Loops
"Lists Quiz",Lists
"Quiz - Topic 7",Lists
"Tuples Quiz",Tuples
"Quiz - Topic 8",Tuples
"Pointers Quiz",Pointers
"Quiz - Topic 9",Pointers
"Arrays Quiz",Arrays
"Quiz - Topic 10",Arrays
"Structures Quiz",Structures
"Quiz - Topic 11",Structures
"File Handling Quiz","File Handling"
"Quiz - Topic 12","File Handling"
"Classes Quiz",Classes
"Quiz - Topic 13",Classes
"Objects Quiz",Objects
"Quiz - Topic 14",Objects
"Inheritance Quiz",Inheritance
"Quiz - Topic 15",Inheritance
"Polymorphism Quiz",Polymorphism
"Quiz - Topic 16",Polymorphism
"SQL Basics Quiz","SQL Basics"
"Quiz - Topic 17","SQL Basics"
"DDL Commands Quiz","DDL Commands"
"Quiz - Topic 18","DDL Commands"
"DML Commands Quiz","DML Commands"
"Quiz - Topic 19","DML Commands"
"Constraints Quiz",Constraints
"Quiz - Topic 20",Constraints
"Quiz - Topic 21","HTML Introduction"
"Quiz - Topic 22","HTML Tags"
"Quiz - Topic 23",Forms
"Quiz - Topic 24",Tables
"Quiz - Topic 25","CSS Basics"
"Quiz - Topic 26",Selectors
"Quiz - Topic 27",Flexbox
"Quiz - Topic 28",Grid
"Quiz - Topic 29","JavaScript Basics"
"Quiz - Topic 30",Variables
"Quiz - Topic 31",Functions
"Quiz - Topic 32",DOM
"Quiz - Topic 33","React Components"
"Quiz - Topic 34",Props
"Quiz - Topic 35",State
"Quiz - Topic 36",Hooks
"Quiz - Topic 37","Node Introduction"
"Quiz - Topic 38",NPM
"Quiz - Topic 39","Express Basics"
"Quiz - Topic 40",Routing
"Quiz - Topic 41","Introduction: Overview (Course 1)"
"Quiz - Topic 42","Introduction: Core Concepts (Course 1)"
"Quiz - Topic 43","Introduction: Hands-on Practice (Course 1)"
"Quiz - Topic 44","Introduction: Mini Project (Course 1)"
"Quiz - Topic 45","Fundamentals: Overview (Course 1)"
"Quiz - Topic 46","Fundamentals: Core Concepts (Course 1)"
"Quiz - Topic 47","Fundamentals: Hands-on Practice (Course 1)"
"Quiz - Topic 48","Fundamentals: Mini Project (Course 1)"
"Quiz - Topic 49","Intermediate Concepts: Overview (Course 1)"
"Quiz - Topic 50","Intermediate Concepts: Core Concepts (Course 1)"
"Quiz - Topic 51","Intermediate Concepts: Hands-on Practice (Course 1)"
"Quiz - Topic 52","Intermediate Concepts: Mini Project (Course 1)"
"Quiz - Topic 53","Advanced Concepts: Overview (Course 1)"
"Quiz - Topic 54","Advanced Concepts: Core Concepts (Course 1)"
"Quiz - Topic 55","Advanced Concepts: Hands-on Practice (Course 1)"
"Quiz - Topic 56","Advanced Concepts: Mini Project (Course 1)"
"Quiz - Topic 57","Projects & Assessment: Overview (Course 1)"
"Quiz - Topic 58","Projects & Assessment: Core Concepts (Course 1)"
"Quiz - Topic 59","Projects & Assessment: Hands-on Practice (Course 1)"
"Quiz - Topic 60","Projects & Assessment: Mini Project (Course 1)"
"Quiz - Topic 61","Introduction: Overview (Course 2)"
"Quiz - Topic 62","Introduction: Core Concepts (Course 2)"
"Quiz - Topic 63","Introduction: Hands-on Practice (Course 2)"
"Quiz - Topic 64","Introduction: Mini Project (Course 2)"
"Quiz - Topic 65","Fundamentals: Overview (Course 2)"
"Quiz - Topic 66","Fundamentals: Core Concepts (Course 2)"
"Quiz - Topic 67","Fundamentals: Hands-on Practice (Course 2)"
"Quiz - Topic 68","Fundamentals: Mini Project (Course 2)"
"Quiz - Topic 69","Intermediate Concepts: Overview (Course 2)"
"Quiz - Topic 70","Intermediate Concepts: Core Concepts (Course 2)"
"Quiz - Topic 71","Intermediate Concepts: Hands-on Practice (Course 2)"
"Quiz - Topic 72","Intermediate Concepts: Mini Project (Course 2)"
"Quiz - Topic 73","Advanced Concepts: Overview (Course 2)"
"Quiz - Topic 74","Advanced Concepts: Core Concepts (Course 2)"
"Quiz - Topic 75","Advanced Concepts: Hands-on Practice (Course 2)"
"Quiz - Topic 76","Advanced Concepts: Mini Project (Course 2)"
"Quiz - Topic 77","Projects & Assessment: Overview (Course 2)"
"Quiz - Topic 78","Projects & Assessment: Core Concepts (Course 2)"
"Quiz - Topic 79","Projects & Assessment: Hands-on Practice (Course 2)"
"Quiz - Topic 80","Projects & Assessment: Mini Project (Course 2)"
"Quiz - Topic 81","Introduction: Overview (Course 3)"
"Quiz - Topic 82","Introduction: Core Concepts (Course 3)"
"Quiz - Topic 83","Introduction: Hands-on Practice (Course 3)"
"Quiz - Topic 84","Introduction: Mini Project (Course 3)"
"Quiz - Topic 85","Fundamentals: Overview (Course 3)"
"Quiz - Topic 86","Fundamentals: Core Concepts (Course 3)"
"Quiz - Topic 87","Fundamentals: Hands-on Practice (Course 3)"
"Quiz - Topic 88","Fundamentals: Mini Project (Course 3)"
"Quiz - Topic 89","Intermediate Concepts: Overview (Course 3)"
"Quiz - Topic 90","Intermediate Concepts: Core Concepts (Course 3)"
"Quiz - Topic 91","Intermediate Concepts: Hands-on Practice (Course 3)"
"Quiz - Topic 92","Intermediate Concepts: Mini Project (Course 3)"
"Quiz - Topic 93","Advanced Concepts: Overview (Course 3)"
"Quiz - Topic 94","Advanced Concepts: Core Concepts (Course 3)"
"Quiz - Topic 95","Advanced Concepts: Hands-on Practice (Course 3)"
"Quiz - Topic 96","Advanced Concepts: Mini Project (Course 3)"
"Quiz - Topic 97","Projects & Assessment: Overview (Course 3)"
"Quiz - Topic 98","Projects & Assessment: Core Concepts (Course 3)"
"Quiz - Topic 99","Projects & Assessment: Hands-on Practice (Course 3)"
