score_id,user_id,quiz_id,score,total_marks,percentage,status,completed_at
1,3,1,18,20,90.00,Pass,"2026-07-24 19:27:05"
2,3,2,17,20,85.00,Pass,"2026-07-24 19:27:05"
3,4,3,15,20,75.00,Pass,"2026-07-24 19:27:05"
5,6,5,19,20,95.00,Pass,"2026-07-24 19:27:05"
8,5,8,16,20,80.00,Pass,"2026-07-24 19:27:05"
10,3,10,20,20,100.00,Pass,"2026-07-24 19:27:05"
11,1,1,18,20,90.00,Pass,NULL
14,1,4,19,20,95.00,Pass,NULL
19,1,9,19,20,95.00,Pass,NULL
21,2,11,18,20,90.00,Pass,NULL
22,2,12,19,20,95.00,Pass,NULL
23,2,13,16,20,80.00,Pass,NULL
25,2,15,17,20,85.00,Pass,NULL
32,3,22,16,20,80.00,Pass,NULL
33,3,23,17,20,85.00,Pass,NULL
35,3,25,16,20,80.00,Pass,NULL
37,3,27,19,20,95.00,Pass,NULL
38,3,28,18,20,90.00,Pass,NULL
39,3,29,19,20,95.00,Pass,NULL
40,3,30,16,20,80.00,Pass,NULL
43,4,33,15,20,75.00,Pass,NULL
44,4,34,17,20,85.00,Pass,NULL
46,4,36,20,20,100.00,Pass,NULL
48,4,38,20,20,100.00,Pass,NULL
49,4,39,20,20,100.00,Pass,NULL
51,5,41,19,20,95.00,Pass,NULL
57,5,47,20,20,100.00,Pass,NULL
65,6,55,17,20,85.00,Pass,NULL
67,6,57,20,20,100.00,Pass,NULL
69,6,59,19,20,95.00,Pass,NULL
70,6,60,15,20,75.00,Pass,NULL
71,7,61,16,20,80.00,Pass,NULL
75,7,65,16,20,80.00,Pass,NULL
77,7,67,18,20,90.00,Pass,NULL
78,7,68,17,20,85.00,Pass,NULL
80,7,70,17,20,85.00,Pass,NULL
82,8,72,19,20,95.00,Pass,NULL
85,8,75,18,20,90.00,Pass,NULL
87,8,77,20,20,100.00,Pass,NULL
94,9,84,15,20,75.00,Pass,NULL
95,9,85,18,20,90.00,Pass,NULL
101,10,91,18,20,90.00,Pass,NULL
103,10,93,19,20,95.00,Pass,NULL
104,10,94,18,20,90.00,Pass,NULL
105,10,95,18,20,90.00,Pass,NULL
107,10,97,17,20,85.00,Pass,NULL
108,10,98,18,20,90.00,Pass,NULL
110,10,100,16,20,80.00,Pass,NULL
111,11,101,19,20,95.00,Pass,NULL
114,11,104,15,20,75.00,Pass,NULL
117,11,107,18,20,90.00,Pass,NULL
118,11,108,19,20,95.00,Pass,NULL
119,11,109,16,20,80.00,Pass,NULL
121,12,111,18,20,90.00,Pass,NULL
123,12,113,20,20,100.00,Pass,NULL
124,12,114,20,20,100.00,Pass,NULL
