user_id,course_id,rating,comments,feedback_date
1,1,5,Very informative and easy to follow.,2026-01-13
2,2,5,Instructor explained concepts well.,2026-05-06
3,3,3,Good practical examples.,2026-02-22
4,4,5,Great learning experience.,2026-02-14
5,5,5,Could include more real-world projects.,2026-01-17
6,6,3,Very informative and easy to follow.,2026-04-22
7,7,3,Great learning experience.,2026-11-05
8,8,3,Great learning experience.,2026-04-12
9,9,5,Great learning experience.,2026-08-03
10,10,3,Well structured and engaging.,2026-10-29
11,11,4,Excellent course with clear explanations.,2026-03-23
12,12,5,Could include more real-world projects.,2026-06-24
13,13,4,Good practical examples.,2026-04-21
14,14,4,Very informative and easy to follow.,2026-02-17
15,15,4,Very informative and easy to follow.,2026-07-03
16,16,4,Highly recommended for beginners.,2026-05-16
17,17,3,Well structured and engaging.,2026-10-02
18,18,3,Could include more real-world projects.,2026-02-10
19,19,5,Instructor explained concepts well.,2026-11-18
20,20,5,Course content was useful.,2026-10-23
21,21,3,Very informative and easy to follow.,2026-01-24
22,22,5,Loved the hands-on exercises.,2026-05-29
23,23,3,Loved the hands-on exercises.,2026-02-21
24,24,4,Instructor explained concepts well.,2026-08-21
25,25,5,Course content was useful.,2026-03-25
26,26,4,Course content was useful.,2026-04-18
27,27,5,Instructor explained concepts well.,2026-12-26
28,28,5,Very informative and easy to follow.,2026-11-08
29,29,5,Good practical examples.,2026-10-01
30,30,5,Loved the hands-on exercises.,2026-03-25
31,31,4,Could include more real-world projects.,2026-05-19
32,32,5,Great learning experience.,2026-04-23
33,33,5,Course content was useful.,2026-01-29
34,34,3,Excellent course with clear explanations.,2026-06-11
35,35,4,Instructor explained concepts well.,2026-02-03
36,36,3,Highly recommended for beginners.,2026-06-11
37,37,3,Well structured and engaging.,2026-07-22
38,38,5,Well structured and engaging.,2026-03-15
39,39,4,Good practical examples.,2026-05-07
40,40,5,Great learning experience.,2026-10-03
41,41,4,Highly recommended for beginners.,2026-08-08
42,42,5,Could include more real-world projects.,2026-07-05
43,43,3,Good practical examples.,2026-09-18
44,44,4,Very informative and easy to follow.,2026-01-25
45,45,3,Good practical examples.,2026-11-18
46,46,3,Could include more real-world projects.,2026-11-02
47,47,3,Could include more real-world projects.,2026-07-15
48,48,5,Well structured and engaging.,2026-09-28
49,49,4,Great learning experience.,2026-01-06
50,50,5,Very informative and easy to follow.,2026-12-16
51,51,5,Instructor explained concepts well.,2026-11-25
52,52,4,Very informative and easy to follow.,2026-05-31
53,53,4,Good practical examples.,2026-08-21
54,54,3,Instructor explained concepts well.,2026-09-14
55,55,3,Great learning experience.,2026-02-24
56,56,5,Instructor explained concepts well.,2026-11-24
57,57,5,Highly recommended for beginners.,2026-04-12
58,58,3,Course content was useful.,2026-03-24
59,59,5,Great learning experience.,2026-01-01
60,60,5,Course content was useful.,2026-09-08
61,61,3,Very informative and easy to follow.,2026-07-05
62,62,4,Loved the hands-on exercises.,2026-01-30
63,63,3,Highly recommended for beginners.,2026-02-10
64,64,3,Well structured and engaging.,2026-02-05
65,65,5,Good practical examples.,2026-03-07
66,66,5,Well structured and engaging.,2026-10-09
67,67,3,Instructor explained concepts well.,2026-09-28
68,68,5,Could include more real-world projects.,2026-04-19
69,69,5,Loved the hands-on exercises.,2027-01-01
70,70,4,Could include more real-world projects.,2026-12-10
71,71,5,Course content was useful.,2026-08-13
72,72,5,Well structured and engaging.,2026-03-03
73,73,3,Loved the hands-on exercises.,2026-02-02
74,74,4,Excellent course with clear explanations.,2026-10-29
75,75,5,Loved the hands-on exercises.,2026-10-29
76,76,3,Excellent course with clear explanations.,2026-02-06
77,77,5,Excellent course with clear explanations.,2026-04-28
78,78,3,Excellent course with clear explanations.,2026-06-19
79,79,3,Great learning experience.,2026-05-02
80,80,4,Well structured and engaging.,2026-04-20
81,81,5,Good practical examples.,2026-10-20
82,82,5,Well structured and engaging.,2026-05-05
83,83,4,Could include more real-world projects.,2026-04-08
84,84,3,Very informative and easy to follow.,2026-12-04
85,85,4,Course content was useful.,2026-08-05
86,86,4,Well structured and engaging.,2026-01-28
87,87,5,Very informative and easy to follow.,2026-02-01
88,88,4,Course content was useful.,2026-02-25
