topic_id,quiz_title,total_marks
1,Quiz - Topic 1,20
2,Quiz - Topic 2,20
3,Quiz - Topic 3,20
4,Quiz - Topic 4,20
5,Quiz - Topic 5,20
6,Quiz - Topic 6,20
7,Quiz - Topic 7,20
8,Quiz - Topic 8,20
9,Quiz - Topic 9,20
10,Quiz - Topic 10,20
11,Quiz - Topic 11,20
12,Quiz - Topic 12,20
13,Quiz - Topic 13,20
14,Quiz - Topic 14,20
15,Quiz - Topic 15,20
16,Quiz - Topic 16,20
17,Quiz - Topic 17,20
18,Quiz - Topic 18,20
19,Quiz - Topic 19,20
20,Quiz - Topic 20,20
21,Quiz - Topic 21,20
22,Quiz - Topic 22,20
23,Quiz - Topic 23,20
24,Quiz - Topic 24,20
25,Quiz - Topic 25,20
26,Quiz - Topic 26,20
27,Quiz - Topic 27,20
28,Quiz - Topic 28,20
29,Quiz - Topic 29,20
30,Quiz - Topic 30,20
31,Quiz - Topic 31,20
32,Quiz - Topic 32,20
33,Quiz - Topic 33,20
34,Quiz - Topic 34,20
35,Quiz - Topic 35,20
36,Quiz - Topic 36,20
37,Quiz - Topic 37,20
38,Quiz - Topic 38,20
39,Quiz - Topic 39,20
40,Quiz - Topic 40,20
41,Quiz - Topic 41,20
42,Quiz - Topic 42,20
43,Quiz - Topic 43,20
44,Quiz - Topic 44,20
45,Quiz - Topic 45,20
46,Quiz - Topic 46,20
47,Quiz - Topic 47,20
48,Quiz - Topic 48,20
49,Quiz - Topic 49,20
50,Quiz - Topic 50,20
51,Quiz - Topic 51,20
52,Quiz - Topic 52,20
53,Quiz - Topic 53,20
54,Quiz - Topic 54,20
55,Quiz - Topic 55,20
56,Quiz - Topic 56,20
57,Quiz - Topic 57,20
58,Quiz - Topic 58,20
59,Quiz - Topic 59,20
60,Quiz - Topic 60,20
61,Quiz - Topic 61,20
62,Quiz - Topic 62,20
63,Quiz - Topic 63,20
64,Quiz - Topic 64,20
65,Quiz - Topic 65,20
66,Quiz - Topic 66,20
67,Quiz - Topic 67,20
68,Quiz - Topic 68,20
69,Quiz - Topic 69,20
70,Quiz - Topic 70,20
71,Quiz - Topic 71,20
72,Quiz - Topic 72,20
73,Quiz - Topic 73,20
74,Quiz - Topic 74,20
75,Quiz - Topic 75,20
76,Quiz - Topic 76,20
77,Quiz - Topic 77,20
78,Quiz - Topic 78,20
79,Quiz - Topic 79,20
80,Quiz - Topic 80,20
81,Quiz - Topic 81,20
82,Quiz - Topic 82,20
83,Quiz - Topic 83,20
84,Quiz - Topic 84,20
85,Quiz - Topic 85,20
86,Quiz - Topic 86,20
87,Quiz - Topic 87,20
88,Quiz - Topic 88,20
89,Quiz - Topic 89,20
90,Quiz - Topic 90,20
91,Quiz - Topic 91,20
92,Quiz - Topic 92,20
93,Quiz - Topic 93,20
94,Quiz - Topic 94,20
95,Quiz - Topic 95,20
96,Quiz - Topic 96,20
97,Quiz - Topic 97,20
98,Quiz - Topic 98,20
99,Quiz - Topic 99,20
100,Quiz - Topic 100,20
101,Quiz - Topic 101,20
102,Quiz - Topic 102,20
103,Quiz - Topic 103,20
104,Quiz - Topic 104,20
105,Quiz - Topic 105,20
106,Quiz - Topic 106,20
107,Quiz - Topic 107,20
108,Quiz - Topic 108,20
109,Quiz - Topic 109,20
110,Quiz - Topic 110,20
111,Quiz - Topic 111,20
112,Quiz - Topic 112,20
113,Quiz - Topic 113,20
114,Quiz - Topic 114,20
115,Quiz - Topic 115,20
116,Quiz - Topic 116,20
117,Quiz - Topic 117,20
118,Quiz - Topic 118,20
119,Quiz - Topic 119,20
120,Quiz - Topic 120,20
121,Quiz - Topic 121,20
122,Quiz - Topic 122,20
123,Quiz - Topic 123,20
124,Quiz - Topic 124,20
125,Quiz - Topic 125,20
126,Quiz - Topic 126,20
127,Quiz - Topic 127,20
128,Quiz - Topic 128,20
129,Quiz - Topic 129,20
130,Quiz - Topic 130,20
131,Quiz - Topic 131,20
132,Quiz - Topic 132,20
133,Quiz - Topic 133,20
134,Quiz - Topic 134,20
135,Quiz - Topic 135,20
136,Quiz - Topic 136,20
137,Quiz - Topic 137,20
138,Quiz - Topic 138,20
139,Quiz - Topic 139,20
140,Quiz - Topic 140,20
141,Quiz - Topic 141,20
142,Quiz - Topic 142,20
143,Quiz - Topic 143,20
144,Quiz - Topic 144,20
145,Quiz - Topic 145,20
146,Quiz - Topic 146,20
147,Quiz - Topic 147,20
148,Quiz - Topic 148,20
149,Quiz - Topic 149,20
150,Quiz - Topic 150,20
151,Quiz - Topic 151,20
152,Quiz - Topic 152,20
153,Quiz - Topic 153,20
