module_id,topic_title,topic_order
1,Introduction: Overview (Course 1),1
1,Introduction: Core Concepts (Course 1),2
1,Introduction: Hands-on Practice (Course 1),3
1,Introduction: Mini Project (Course 1),4
2,Fundamentals: Overview (Course 1),1
2,Fundamentals: Core Concepts (Course 1),2
2,Fundamentals: Hands-on Practice (Course 1),3
2,Fundamentals: Mini Project (Course 1),4
3,Intermediate Concepts: Overview (Course 1),1
3,Intermediate Concepts: Core Concepts (Course 1),2
3,Intermediate Concepts: Hands-on Practice (Course 1),3
3,Intermediate Concepts: Mini Project (Course 1),4
4,Advanced Concepts: Overview (Course 1),1
4,Advanced Concepts: Core Concepts (Course 1),2
4,Advanced Concepts: Hands-on Practice (Course 1),3
4,Advanced Concepts: Mini Project (Course 1),4
5,Projects & Assessment: Overview (Course 1),1
5,Projects & Assessment: Core Concepts (Course 1),2
5,Projects & Assessment: Hands-on Practice (Course 1),3
5,Projects & Assessment: Mini Project (Course 1),4
6,Introduction: Overview (Course 2),1
6,Introduction: Core Concepts (Course 2),2
6,Introduction: Hands-on Practice (Course 2),3
6,Introduction: Mini Project (Course 2),4
7,Fundamentals: Overview (Course 2),1
7,Fundamentals: Core Concepts (Course 2),2
7,Fundamentals: Hands-on Practice (Course 2),3
7,Fundamentals: Mini Project (Course 2),4
8,Intermediate Concepts: Overview (Course 2),1
8,Intermediate Concepts: Core Concepts (Course 2),2
8,Intermediate Concepts: Hands-on Practice (Course 2),3
8,Intermediate Concepts: Mini Project (Course 2),4
9,Advanced Concepts: Overview (Course 2),1
9,Advanced Concepts: Core Concepts (Course 2),2
9,Advanced Concepts: Hands-on Practice (Course 2),3
9,Advanced Concepts: Mini Project (Course 2),4
10,Projects & Assessment: Overview (Course 2),1
10,Projects & Assessment: Core Concepts (Course 2),2
10,Projects & Assessment: Hands-on Practice (Course 2),3
10,Projects & Assessment: Mini Project (Course 2),4
11,Introduction: Overview (Course 3),1
11,Introduction: Core Concepts (Course 3),2
11,Introduction: Hands-on Practice (Course 3),3
11,Introduction: Mini Project (Course 3),4
12,Fundamentals: Overview (Course 3),1
12,Fundamentals: Core Concepts (Course 3),2
12,Fundamentals: Hands-on Practice (Course 3),3
12,Fundamentals: Mini Project (Course 3),4
13,Intermediate Concepts: Overview (Course 3),1
13,Intermediate Concepts: Core Concepts (Course 3),2
13,Intermediate Concepts: Hands-on Practice (Course 3),3
13,Intermediate Concepts: Mini Project (Course 3),4
14,Advanced Concepts: Overview (Course 3),1
14,Advanced Concepts: Core Concepts (Course 3),2
14,Advanced Concepts: Hands-on Practice (Course 3),3
14,Advanced Concepts: Mini Project (Course 3),4
15,Projects & Assessment: Overview (Course 3),1
15,Projects & Assessment: Core Concepts (Course 3),2
15,Projects & Assessment: Hands-on Practice (Course 3),3
15,Projects & Assessment: Mini Project (Course 3),4
16,Introduction: Overview (Course 4),1
16,Introduction: Core Concepts (Course 4),2
16,Introduction: Hands-on Practice (Course 4),3
16,Introduction: Mini Project (Course 4),4
17,Fundamentals: Overview (Course 4),1
17,Fundamentals: Core Concepts (Course 4),2
17,Fundamentals: Hands-on Practice (Course 4),3
17,Fundamentals: Mini Project (Course 4),4
18,Intermediate Concepts: Overview (Course 4),1
18,Intermediate Concepts: Core Concepts (Course 4),2
18,Intermediate Concepts: Hands-on Practice (Course 4),3
18,Intermediate Concepts: Mini Project (Course 4),4
19,Advanced Concepts: Overview (Course 4),1
19,Advanced Concepts: Core Concepts (Course 4),2
19,Advanced Concepts: Hands-on Practice (Course 4),3
19,Advanced Concepts: Mini Project (Course 4),4
20,Projects & Assessment: Overview (Course 4),1
20,Projects & Assessment: Core Concepts (Course 4),2
20,Projects & Assessment: Hands-on Practice (Course 4),3
20,Projects & Assessment: Mini Project (Course 4),4
21,Introduction: Overview (Course 5),1
21,Introduction: Core Concepts (Course 5),2
21,Introduction: Hands-on Practice (Course 5),3
21,Introduction: Mini Project (Course 5),4
22,Fundamentals: Overview (Course 5),1
22,Fundamentals: Core Concepts (Course 5),2
22,Fundamentals: Hands-on Practice (Course 5),3
22,Fundamentals: Mini Project (Course 5),4
23,Intermediate Concepts: Overview (Course 5),1
23,Intermediate Concepts: Core Concepts (Course 5),2
23,Intermediate Concepts: Hands-on Practice (Course 5),3
23,Intermediate Concepts: Mini Project (Course 5),4
24,Advanced Concepts: Overview (Course 5),1
