topic_id,video_title,duration
1,Video Lesson for Topic 1,15:20
2,Video Lesson for Topic 2,30:00:00
3,Video Lesson for Topic 3,25:30:00
4,Video Lesson for Topic 4,20:00
5,Video Lesson for Topic 5,10:00
6,Video Lesson for Topic 6,08:15
7,Video Lesson for Topic 7,08:15
8,Video Lesson for Topic 8,08:15
9,Video Lesson for Topic 9,25:30:00
10,Video Lesson for Topic 10,18:10
11,Video Lesson for Topic 11,05:30
12,Video Lesson for Topic 12,30:00:00
13,Video Lesson for Topic 13,15:20
14,Video Lesson for Topic 14,05:30
15,Video Lesson for Topic 15,30:00:00
16,Video Lesson for Topic 16,05:30
17,Video Lesson for Topic 17,08:15
18,Video Lesson for Topic 18,20:00
19,Video Lesson for Topic 19,10:00
20,Video Lesson for Topic 20,15:20
21,Video Lesson for Topic 21,10:00
22,Video Lesson for Topic 22,18:10
23,Video Lesson for Topic 23,08:15
24,Video Lesson for Topic 24,30:00:00
25,Video Lesson for Topic 25,20:00
26,Video Lesson for Topic 26,30:00:00
27,Video Lesson for Topic 27,15:20
28,Video Lesson for Topic 28,20:00
29,Video Lesson for Topic 29,18:10
30,Video Lesson for Topic 30,30:00:00
31,Video Lesson for Topic 31,25:30:00
32,Video Lesson for Topic 32,12:45
33,Video Lesson for Topic 33,20:00
34,Video Lesson for Topic 34,18:10
35,Video Lesson for Topic 35,05:30
36,Video Lesson for Topic 36,15:20
37,Video Lesson for Topic 37,10:00
38,Video Lesson for Topic 38,18:10
39,Video Lesson for Topic 39,25:30:00
40,Video Lesson for Topic 40,25:30:00
41,Video Lesson for Topic 41,30:00:00
42,Video Lesson for Topic 42,30:00:00
43,Video Lesson for Topic 43,20:00
44,Video Lesson for Topic 44,08:15
45,Video Lesson for Topic 45,05:30
46,Video Lesson for Topic 46,18:10
47,Video Lesson for Topic 47,18:10
48,Video Lesson for Topic 48,10:00
49,Video Lesson for Topic 49,25:30:00
50,Video Lesson for Topic 50,10:00
51,Video Lesson for Topic 51,25:30:00
52,Video Lesson for Topic 52,08:15
53,Video Lesson for Topic 53,05:30
54,Video Lesson for Topic 54,08:15
55,Video Lesson for Topic 55,12:45
56,Video Lesson for Topic 56,05:30
57,Video Lesson for Topic 57,20:00
58,Video Lesson for Topic 58,30:00:00
59,Video Lesson for Topic 59,30:00:00
60,Video Lesson for Topic 60,12:45
61,Video Lesson for Topic 61,08:15
62,Video Lesson for Topic 62,05:30
63,Video Lesson for Topic 63,12:45
64,Video Lesson for Topic 64,05:30
65,Video Lesson for Topic 65,12:45
66,Video Lesson for Topic 66,08:15
67,Video Lesson for Topic 67,05:30
68,Video Lesson for Topic 68,18:10
69,Video Lesson for Topic 69,10:00
70,Video Lesson for Topic 70,12:45
71,Video Lesson for Topic 71,10:00
72,Video Lesson for Topic 72,05:30
73,Video Lesson for Topic 73,20:00
74,Video Lesson for Topic 74,12:45
75,Video Lesson for Topic 75,25:30:00
76,Video Lesson for Topic 76,15:20
77,Video Lesson for Topic 77,05:30
78,Video Lesson for Topic 78,30:00:00
79,Video Lesson for Topic 79,20:00
80,Video Lesson for Topic 80,05:30
81,Video Lesson for Topic 81,18:10
82,Video Lesson for Topic 82,10:00
83,Video Lesson for Topic 83,10:00
84,Video Lesson for Topic 84,30:00:00
85,Video Lesson for Topic 85,20:00
86,Video Lesson for Topic 86,25:30:00
87,Video Lesson for Topic 87,08:15
88,Video Lesson for Topic 88,12:45
89,Video Lesson for Topic 89,25:30:00
90,Video Lesson for Topic 90,30:00:00
91,Video Lesson for Topic 91,30:00:00
92,Video Lesson for Topic 92,20:00
93,Video Lesson for Topic 93,08:15
94,Video Lesson for Topic 94,25:30:00
95,Video Lesson for Topic 95,25:30:00
96,Video Lesson for Topic 96,12:45
97,Video Lesson for Topic 97,05:30
98,Video Lesson for Topic 98,25:30:00
99,Video Lesson for Topic 99,08:15
100,Video Lesson for Topic 100,15:20
101,Video Lesson for Topic 101,18:10
102,Video Lesson for Topic 102,08:15
103,Video Lesson for Topic 103,15:20
104,Video Lesson for Topic 104,30:00:00
105,Video Lesson for Topic 105,18:10
106,Video Lesson for Topic 106,10:00
107,Video Lesson for Topic 107,25:30:00
108,Video Lesson for Topic 108,25:30:00
109,Video Lesson for Topic 109,15:20
110,Video Lesson for Topic 110,20:00
111,Video Lesson for Topic 111,15:20
112,Video Lesson for Topic 112,18:10
113,Video Lesson for Topic 113,18:10
114,Video Lesson for Topic 114,15:20
115,Video Lesson for Topic 115,30:00:00
116,Video Lesson for Topic 116,25:30:00
117,Video Lesson for Topic 117,08:15
118,Video Lesson for Topic 118,10:00
119,Video Lesson for Topic 119,30:00:00
120,Video Lesson for Topic 120,12:45
121,Video Lesson for Topic 121,20:00
122,Video Lesson for Topic 122,12:45
123,Video Lesson for Topic 123,12:45
124,Video Lesson for Topic 124,30:00:00
125,Video Lesson for Topic 125,05:30
126,Video Lesson for Topic 126,05:30
127,Video Lesson for Topic 127,30:00:00
128,Video Lesson for Topic 128,30:00:00
129,Video Lesson for Topic 129,30:00:00
130,Video Lesson for Topic 130,18:10
131,Video Lesson for Topic 131,15:20
132,Video Lesson for Topic 132,12:45
133,Video Lesson for Topic 133,25:30:00
134,Video Lesson for Topic 134,25:30:00
135,Video Lesson for Topic 135,12:45
136,Video Lesson for Topic 136,08:15
137,Video Lesson for Topic 137,20:00
138,Video Lesson for Topic 138,12:45
139,Video Lesson for Topic 139,30:00:00
140,Video Lesson for Topic 140,05:30
141,Video Lesson for Topic 141,18:10
